method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
bo_marginal_random,28,15.0,0.0,40.0,0.0,18,24.553571428571427,14.225442050446524,14.178571428571429,7.40199573198516,10.375,10.962293327584334
random,28,15.0,0.0,40.0,0.0,19,24.553571428571427,11.837696510447858,11.821428571428571,8.98432592045157,12.732142857142858,11.434973095459277
fixed_dumb,28,15.0,0.0,40.0,0.0,19,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,19,30.410714285714285,9.189525842179327,3.1785714285714284,4.496455520173413,27.232142857142858,10.258691561355203
bo_marginal_random,28,15.0,0.0,40.0,0.0,19,22.339285714285715,12.213907157876406,11.821428571428571,7.40199573198516,10.517857142857142,12.30090163859743
random,28,15.0,0.0,40.0,0.0,20,24.642857142857142,13.943673131860317,11.035714285714286,9.774172025062288,13.607142857142858,13.612203783250333
fixed_dumb,28,15.0,0.0,40.0,0.0,20,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,20,27.607142857142858,4.828037798069919,23.607142857142858,2.041345594634748,4.0,4.0
bo_marginal_random,28,15.0,0.0,40.0,0.0,20,28.160714285714285,12.046823507989693,14.964285714285714,8.84583091008391,13.196428571428571,12.75618847413894
random,28,15.0,0.0,40.0,0.0,21,25.642857142857142,12.085895810862363,13.785714285714286,8.784552768749174,11.857142857142858,12.610835153363404
fixed_dumb,28,15.0,0.0,40.0,0.0,21,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,21,26.410714285714285,13.017195750394231,13.392857142857142,2.0413455946347483,13.017857142857142,13.247966247461441
bo_marginal_random,28,15.0,0.0,40.0,0.0,21,23.303571428571427,13.589215318008016,11.035714285714286,8.845830910083908,12.267857142857142,14.432405342824591
random,28,15.0,0.0,40.0,0.0,22,23.125,13.781214569115452,14.571428571428571,9.622995418076771,8.553571428571429,10.415766967948748
fixed_dumb,28,15.0,0.0,40.0,0.0,22,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,22,15.607142857142858,12.905118823038194,8.285714285714286,6.186720472437852,7.321428571428571,6.831144912555034
bo_marginal_random,28,15.0,0.0,40.0,0.0,22,25.553571428571427,12.777868203120837,15.357142857142858,7.974129086858172,10.196428571428571,12.12313261445882
random,28,15.0,0.0,40.0,0.0,23,25.625,13.37683565507393,12.607142857142858,8.041585156965926,13.017857142857142,12.827483150625918
fixed_dumb,28,15.0,0.0,40.0,0.0,23,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,23,32.285714285714285,7.850646665162336,24.0,0.0,8.285714285714286,7.850646665162334
bo_marginal_random,28,15.0,0.0,40.0,0.0,23,29.875,10.605444188178609,11.821428571428571,8.489714665525621,18.053571428571427,13.185042449220825
random,28,15.0,0.0,40.0,0.0,24,26.517857142857142,12.640977967688729,15.357142857142858,7.974129086858172,11.160714285714286,11.434638456578025
fixed_dumb,28,15.0,0.0,40.0,0.0,24,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,24,14.25,11.794747620384737,13.0,11.0,1.25,4.524733614889863
bo_marginal_random,28,15.0,0.0,40.0,0.0,24,26.767857142857142,11.488722842466885,11.428571428571429,7.617782633082802,15.339285714285714,11.549623966844557
random,28,15.0,0.0,40.0,0.0,25,28.160714285714285,9.533824719151816,13.785714285714286,9.7187489746702,14.375,11.99823275677357
fixed_dumb,28,15.0,0.0,40.0,0.0,25,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,25,18.160714285714285,5.968748330483793,7.892857142857143,5.48595144576637,10.267857142857142,9.7325687980185
bo_marginal_random,28,15.0,0.0,40.0,0.0,25,26.089285714285715,13.59296927736947,10.25,6.972522601510262,15.839285714285714,13.715250617097594
random,28,15.0,0.0,40.0,0.0,26,24.178571428571427,11.620651479858026,13.785714285714286,8.784552768749174,10.392857142857142,9.39923737679319
fixed_dumb,28,15.0,0.0,40.0,0.0,26,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,26,38.07142857142857,7.549496536801888,13.0,11.0,25.071428571428573,12.677112592127175
bo_marginal_random,28,15.0,0.0,40.0,0.0,26,24.982142857142858,11.465384348782473,15.357142857142858,7.412413746615902,9.625,10.379947185387245
random,28,15.0,0.0,40.0,0.0,27,27.071428571428573,11.587180636463764,11.821428571428571,9.899688203706832,15.25,11.739356881873896
fixed_dumb,28,15.0,0.0,40.0,0.0,27,2.0,0.0,2.0,0.0,0.0,0.0
