batch,bo_category_policies,bo_design_mode,bo_random_fraction,budget,categorical_ucb_weight,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,final_score_only,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,predictive_timeout_seconds,predictive_weight,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,target_mode,target_psi_unit,target_seed,target_theta,validation
14,,categorical,0.2,472,1.0,0.25916666666666666,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0122650404075442,-0.41827688094131,32,0.5,0.1,0.8738498055537816,0.7954318349284878,0.9170820684271488,0.881416346025368,0.9014689728341214,0.25225871023388896,0.2296213920089802,0.2647387895376966,0.25444298232294127,0.26023167706593775,0.1738763135861766,0,rmse_coverage_predictive,0.2296213920089802,0.015884327372261794,0.015266578939376477,0.26023167706593775,28,30,717,472,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,486,1.0,0.3708333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.032019928238986,-0.48208637299559554,32,0.5,0.1,0.991342906066513,0.9437279705644879,1.1286647537136896,0.9060713369893524,0.9869075629985219,0.2861760468383636,0.2724307989235932,0.3258174496907207,0.26156026515790337,0.28489567358123713,0.19749211366890757,0,rmse_coverage_predictive,0.2724307989235932,0.01954904698144324,0.015693615909474202,0.28489567358123713,29,30,717,486,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.41,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0423749504987585,-0.45217174596703336,32,0.5,0.1,0.8502091850122502,0.9104858402879227,0.9277885352067999,0.7343585058566495,0.8282038586976288,0.2454342509171575,0.2628346224917874,0.2678294802763473,0.211991040519014,0.2390818603814814,0.17794816445964406,0,rmse_coverage_predictive,0.2628346224917874,0.016069768816580836,0.012719462431140839,0.2390818603814814,30,30,717,500,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.3658333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo_marginal_random,10,0.06,8,1.0265669504094352,-0.46205102069703635,32,0.5,0.1,0.9281575037588079,0.9770914509181937,0.91534923291444,0.8361255688126464,0.9840637623899516,0.26793599232275944,0.2820620061052506,0.2642385630128347,0.2413686611151552,0.2840747390577973,0.20044857427428855,0,rmse_coverage_predictive,0.2820620061052506,0.015854313780770082,0.014482119666909312,0.2840747390577973,30,30,717,500,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.24250000000000002,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,random,10,0.06,8,0.8719755786503638,-0.37023306121005595,32,0.5,0.1,0.770452583861083,0.8284259387034112,0.8312441407953362,0.6048545281016483,0.8172857278439364,0.22241050334501955,0.23914596935704147,0.23995951422524328,0.17460646231002536,0.23593006748776799,0.16820436688076298,1,rmse_coverage_predictive,0.23914596935704147,0.014397570853514596,0.01047638773860152,0.23593006748776799,30,30,10717,500,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.4308333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,fixed_dumb,10,0.06,8,1.0347204192693524,-0.5527225309519538,32,0.5,0.1,1.183136733169197,1.157891876060455,1.081714001163947,1.008232380048291,1.4847086754040952,0.3415421556916852,0.33425459316799233,0.312263934879096,0.291051618013289,0.4285984767063636,0.27206560725432705,1,rmse_coverage_predictive,0.33425459316799233,0.018735836092745758,0.017463097080797338,0.4285984767063636,30,30,10717,500,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,80,1.0,0.275,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9093262406882711,-0.4006864329390388,32,0.5,0.1,0.8348616835616507,0.8425775401589303,0.7590800238775235,0.8903482630869631,0.8474409071231855,0.2410038088702116,0.24323118481194558,0.21912752806107788,0.257021404682887,0.24463511792493595,0.17278485678788502,1,rmse_coverage_predictive,0.24323118481194558,0.013147651683664672,0.015421284280973217,0.24463511792493595,0,30,10717,80,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,94,1.0,0.31583333333333335,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9397037896597867,-0.4352526903106888,32,0.5,0.1,0.9087169159185708,0.9614009765271619,0.8900417764150313,0.7861260837944835,0.997298826937607,0.26232397801137675,0.27753255629856305,0.2569329296016155,0.22693505304786565,0.2878953730974627,0.20020684068704933,1,rmse_coverage_predictive,0.27753255629856305,0.015415975776096932,0.013616103182871939,0.2878953730974627,1,30,10717,94,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,108,1.0,0.2791666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.966230203631094,-0.4498976846563122,32,0.5,0.1,0.9820139099421756,0.9815466290834715,1.1039840225450277,0.8096840965609957,1.0328408915792082,0.28348299762653606,0.283348105261756,0.3186927362987088,0.23373566555402492,0.2981554833916545,0.20600069887588726,1,rmse_coverage_predictive,0.283348105261756,0.019121564177922528,0.014024139933241494,0.2981554833916545,2,30,10717,108,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,122,1.0,0.35166666666666674,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9869424603492417,-0.44682290252771106,32,0.5,0.1,0.901400774234872,0.9243712743896605,0.880347222027588,0.7507582575932149,1.0501263429290244,0.2602119898261202,0.266843002050014,0.2541343528089836,0.21672524105888852,0.3031453633865948,0.20217807364032905,1,rmse_coverage_predictive,0.266843002050014,0.015248061168539015,0.013003514463533311,0.3031453633865948,3,30,10717,122,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
