replicate,left_method,right_method,metric,delta_left_minus_right,left_value,right_value
0,structured_medium_mid,random,range_normalized_rmse,0.01776586157537524,0.24071842928742482,0.22295256771204958
1,structured_medium_mid,random,range_normalized_rmse,0.06249827116844167,0.28071595514898634,0.21821768398054467
2,structured_medium_mid,random,range_normalized_rmse,0.069900869110024,0.2689704750402568,0.1990696059302328
3,structured_medium_mid,random,range_normalized_rmse,0.053162914218868984,0.25542005454613254,0.20225714032726355
4,structured_medium_mid,random,range_normalized_rmse,0.06578607829662797,0.27467822076428233,0.20889214246765436
5,structured_medium_mid,random,range_normalized_rmse,0.03222944475964251,0.23744926554510182,0.2052198207854593
6,structured_medium_mid,random,range_normalized_rmse,0.08853674187581512,0.28293038483701227,0.19439364296119716
7,structured_medium_mid,random,range_normalized_rmse,0.07263899943022242,0.2747390965018436,0.20210009707162116
8,structured_medium_mid,random,range_normalized_rmse,0.0634493623052845,0.2706485905524134,0.2071992282471289
9,structured_medium_mid,random,range_normalized_rmse,0.03407290269025379,0.24012313847148375,0.20605023578122997
0,structured_medium_mid,random,posterior_quality_objective,-0.042421659290394265,-0.42649034335754343,-0.38406868406714917
1,structured_medium_mid,random,posterior_quality_objective,-0.10656284447799824,-0.47849674169152856,-0.3719338972135303
2,structured_medium_mid,random,posterior_quality_objective,-0.1168154242896417,-0.46887470623163613,-0.35205928194199443
3,structured_medium_mid,random,posterior_quality_objective,-0.09662621895385831,-0.43664773108394217,-0.34002151213008386
4,structured_medium_mid,random,posterior_quality_objective,-0.1124092474433877,-0.4803846611042497,-0.367975413660862
5,structured_medium_mid,random,posterior_quality_objective,-0.0924910673055756,-0.4335835839608026,-0.341092516655227
6,structured_medium_mid,random,posterior_quality_objective,-0.13344707860354899,-0.4827206594317537,-0.3492735808282047
7,structured_medium_mid,random,posterior_quality_objective,-0.14089343795394343,-0.49209788967825147,-0.35120445172430803
8,structured_medium_mid,random,posterior_quality_objective,-0.11634049536416097,-0.4665321539200111,-0.3501916585558501
9,structured_medium_mid,random,posterior_quality_objective,-0.0661538877498079,-0.4295357089086142,-0.3633818211588063
0,structured_medium_mid,random,coverage_error,0.08833333333333332,0.37916666666666665,0.29083333333333333
1,structured_medium_mid,random,coverage_error,0.15499999999999997,0.42333333333333334,0.26833333333333337
2,structured_medium_mid,random,coverage_error,0.14749999999999996,0.38916666666666666,0.2416666666666667
3,structured_medium_mid,random,coverage_error,0.18500000000000005,0.3866666666666667,0.20166666666666666
4,structured_medium_mid,random,coverage_error,0.1691666666666667,0.42750000000000005,0.25833333333333336
5,structured_medium_mid,random,coverage_error,0.21499999999999997,0.375,0.16000000000000003
6,structured_medium_mid,random,coverage_error,0.17499999999999996,0.4175,0.24250000000000002
7,structured_medium_mid,random,coverage_error,0.26083333333333336,0.4691666666666667,0.20833333333333334
8,structured_medium_mid,random,coverage_error,0.20499999999999996,0.4175,0.21250000000000002
9,structured_medium_mid,random,coverage_error,0.10916666666666669,0.3666666666666667,0.2575
0,structured_medium_mid,random,posterior_mean_predictive_rmse,0.025724643816856463,0.9098024740345192,0.8840778302176627
1,structured_medium_mid,random,posterior_mean_predictive_rmse,0.053145733095565806,0.9194745320920887,0.8663287989965229
2,structured_medium_mid,random,posterior_mean_predictive_rmse,0.10039555179617765,1.0261256452471268,0.9257300934509491
3,structured_medium_mid,random,posterior_mean_predictive_rmse,-0.027866952650106525,0.8456100987114297,0.8734770513615362
4,structured_medium_mid,random,posterior_mean_predictive_rmse,0.04331502480093086,0.9883144033996738,0.944999378598743
5,structured_medium_mid,random,posterior_mean_predictive_rmse,0.06511622545933116,1.0238431841570077,0.9587269586976765
6,structured_medium_mid,random,posterior_mean_predictive_rmse,0.011603367277338572,0.9541527459474143,0.9425493786700757
7,structured_medium_mid,random,posterior_mean_predictive_rmse,0.030461051903876712,1.000671265097412,0.9702102131935354
8,structured_medium_mid,random,posterior_mean_predictive_rmse,0.01641133058876465,0.9150856336759765,0.8986743030872119
9,structured_medium_mid,random,posterior_mean_predictive_rmse,0.047893183928874206,0.9774590377046375,0.9295658537757633
