method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
random,140,15.0,0.0,40.0,0.0,21,25.619878059276292,9.308163928893293,11.895145635943894,6.647658567462803,13.724732423332394,8.755335059097678
fixed_dumb,140,15.0,0.0,40.0,0.0,21,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,21,27.538052631441687,7.943122148071005,10.846095995204168,7.344301240379778,16.691956636237524,7.560947523361744
bo_marginal_random,140,15.0,0.0,40.0,0.0,21,27.11021472923646,8.33105672021246,15.142099983052734,6.9130736505299115,11.968114746183726,8.463632735368948
random,140,15.0,0.0,40.0,0.0,22,26.516722855055065,8.750828693197532,13.751929095373477,6.465631695584965,12.764793759681586,7.85728681698926
fixed_dumb,140,15.0,0.0,40.0,0.0,22,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,22,26.166624857502374,7.787993278805202,14.216478050665744,7.011548292561399,11.950146806836626,8.540338930645119
bo_marginal_random,140,15.0,0.0,40.0,0.0,22,26.399856535897634,8.989647023803784,14.90543029987013,7.075787255619365,11.494426236027502,8.396837787238093
random,140,15.0,0.0,40.0,0.0,23,26.224705754066658,8.337453128728809,12.651541907518146,6.525470243650085,13.573163846548509,9.161539552709247
fixed_dumb,140,15.0,0.0,40.0,0.0,23,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,23,30.76938102022076,5.970343235747266,14.353804176269563,5.3681576651108935,16.415576843951204,7.981529505642369
bo_marginal_random,140,15.0,0.0,40.0,0.0,23,26.74885754428609,7.8533777782182925,15.456346748129253,6.671412761727768,11.292510796156833,8.036874771728522
random,140,15.0,0.0,40.0,0.0,24,26.958930723187773,8.588384558486098,12.81304737857343,6.38609775578506,14.145883344614342,8.884623894286564
