method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
bo_marginal_random,10,15.0,0.0,40.0,0.0,16,29.60100129769856,6.579241929640712,12.210228919495073,7.443066048636918,17.390772378203486,7.204351516647387
random,10,15.0,0.0,40.0,0.0,17,30.014604506121646,7.80083562544505,10.808430649325308,5.870365362822582,19.206173856796333,9.437592368590323
fixed_dumb,10,15.0,0.0,40.0,0.0,17,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,17,21.804430501795007,12.992141902806125,13.36428910461747,10.370911959001669,8.440141397177545,2.6212299438044586
bo_marginal_random,10,15.0,0.0,40.0,0.0,17,31.309594942208086,8.89464371977046,16.512621199713113,8.891270375492642,14.796973742494973,8.582682435548916
random,10,15.0,0.0,40.0,0.0,18,27.86444559279081,7.257255200004258,15.6412123201752,4.902215145314435,12.223233272615612,7.789167379889288
fixed_dumb,10,15.0,0.0,40.0,0.0,18,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,18,38.74356335180427,1.2427101172716455,23.371558692444133,0.44038064608552574,15.372004659360135,1.6830907633571712
bo_marginal_random,10,15.0,0.0,40.0,0.0,18,31.260919425194437,6.895822428570536,16.187599952879737,4.773015006849427,15.073319472314703,7.822038651972425
random,10,15.0,0.0,40.0,0.0,19,28.37398298459296,10.283536349660295,14.740775912143231,6.142027692779834,13.633207072449725,10.287264054846876
fixed_dumb,10,15.0,0.0,40.0,0.0,19,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,19,35.141786752715994,4.622179435116932,12.07688360146615,6.3907726651271375,23.064903151249847,1.7685932300102056
bo_marginal_random,10,15.0,0.0,40.0,0.0,19,32.15891137868954,6.959613026268995,14.128088893009764,8.79613450205544,18.03082248567977,7.454999338747262
random,10,15.0,0.0,40.0,0.0,20,28.316657029648088,9.786587422541267,14.420978908049268,4.790502413514091,13.89567812159882,9.154273308084932
fixed_dumb,10,15.0,0.0,40.0,0.0,20,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,20,24.399281034032395,15.586992435043515,12.962277595987203,9.968900450371402,11.437003438045195,5.618091984672112
bo_marginal_random,10,15.0,0.0,40.0,0.0,20,28.786841158915838,8.906219764564472,14.832984418882575,7.4614079370968796,13.953856740033263,9.985629618523792
random,10,15.0,0.0,40.0,0.0,21,25.435916047983927,9.81910687654041,17.169777945483595,5.314014429380885,8.266138102500335,6.881842652387266
fixed_dumb,10,15.0,0.0,40.0,0.0,21,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,21,34.913466282734475,4.3070540284130505,9.959813211339341,1.170250805119605,24.95365307139514,5.477304833532656
bo_marginal_random,10,15.0,0.0,40.0,0.0,21,27.775534999957337,5.45132864756151,17.726230429268956,7.168064443109855,10.049304570688385,5.073497627948069
random,10,15.0,0.0,40.0,0.0,22,26.954306101301086,7.774655081453458,17.456647163322582,5.089322644122332,9.497658937978501,6.203328761069405
