coverage_error,method,posterior_mean_rmse,replicate,round,simulations
0.37592592592592594,random_fmpe,0.174897102909384,4,6,216
0.4134259259259259,random_fmpe,0.16281858273361569,4,7,232
0.30416666666666664,random_fmpe,0.16118410517626017,4,8,248
0.37453703703703706,random_fmpe,0.16379799661902517,4,9,264
0.3370370370370371,random_fmpe,0.15741819865428747,4,10,280
0.3527777777777778,random_fmpe,0.15610158430311047,4,11,296
0.34907407407407415,random_fmpe,0.16058347126637482,4,12,312
0.32083333333333336,random_fmpe,0.15270362946560728,4,13,328
0.3314814814814815,random_fmpe,0.1555299059555131,4,14,344
0.32037037037037036,random_fmpe,0.15267675584635365,4,15,360
0.3546296296296297,random_fmpe,0.14329361257315787,4,16,376
0.3166666666666667,random_fmpe,0.14990949309893492,4,17,392
0.3342592592592593,random_fmpe,0.14386968612521311,4,18,408
0.3236111111111111,random_fmpe,0.13945850040271465,4,19,424
0.3268518518518519,random_fmpe,0.14469188586041556,4,20,440
0.30092592592592593,bo_fmpe,0.17289381564028955,4,0,120
0.37546296296296294,bo_fmpe,0.18194932828005903,4,1,136
0.37916666666666665,bo_fmpe,0.17657710179601455,4,2,152
0.3962962962962963,bo_fmpe,0.1771756339359575,4,3,168
0.27546296296296297,bo_fmpe,0.17654047845039272,4,4,184
0.3212962962962963,bo_fmpe,0.16956887703423876,4,5,200
0.34027777777777785,bo_fmpe,0.16843180822774714,4,6,216
0.3347222222222222,bo_fmpe,0.1733657792274854,4,7,232
0.3643518518518518,bo_fmpe,0.16989734096991702,4,8,248
0.3217592592592593,bo_fmpe,0.16946374207145526,4,9,264
0.3375000000000001,bo_fmpe,0.15395764816226323,4,10,280
0.2569444444444445,bo_fmpe,0.15779810211540646,4,11,296
0.31203703703703706,bo_fmpe,0.1492701824973001,4,12,312
0.31203703703703706,bo_fmpe,0.15454633840422138,4,13,328
0.30092592592592593,bo_fmpe,0.15441062709160142,4,14,344
0.26481481481481484,bo_fmpe,0.15016639248247216,4,15,360
0.2976851851851852,bo_fmpe,0.14812648132580683,4,16,376
0.3263888888888889,bo_fmpe,0.153169662731141,4,17,392
0.32037037037037036,bo_fmpe,0.14795840749690028,4,18,408
0.2833333333333334,bo_fmpe,0.146253488039515,4,19,424
0.28425925925925927,bo_fmpe,0.14966818652005787,4,20,440
