abc_k_used_mean,abc_k_used_std,budget,coverage_error_mean,coverage_error_std,method,posterior_mean_predictive_rmse_mean,posterior_mean_predictive_rmse_std,posterior_quality_objective_mean,posterior_quality_objective_std,prior_std_normalized_rmse_alpha_mean,prior_std_normalized_rmse_alpha_std,prior_std_normalized_rmse_beta_mean,prior_std_normalized_rmse_beta_std,prior_std_normalized_rmse_delta_mean,prior_std_normalized_rmse_delta_std,prior_std_normalized_rmse_gamma_mean,prior_std_normalized_rmse_gamma_std,prior_std_normalized_rmse_mean,prior_std_normalized_rmse_std,range_normalized_rmse_alpha_mean,range_normalized_rmse_alpha_std,range_normalized_rmse_beta_mean,range_normalized_rmse_beta_std,range_normalized_rmse_delta_mean,range_normalized_rmse_delta_std,range_normalized_rmse_gamma_mean,range_normalized_rmse_gamma_std,range_normalized_rmse_mean,range_normalized_rmse_std,raw_rmse_mean,raw_rmse_std,replicates,rmse_alpha_mean,rmse_alpha_std,rmse_beta_mean,rmse_beta_std,rmse_delta_mean,rmse_delta_std,rmse_gamma_mean,rmse_gamma_std,validation_log_posterior_mean,validation_log_posterior_std
44.0,0.0,2000,0.015833333333333338,0.0025000000000000118,abc_knn,0.9197020237835456,0.029564461455560076,-0.318607822155708,0.0007728281352443189,0.8020274153568656,0.013238332986539592,0.8794092125596336,0.012545451497743887,0.635415514023196,0.01226859673397851,0.7686825613741155,0.025402164992998022,0.7713836758284527,0.00972933818582572,0.23152537207687313,0.003821577556700262,0.2538635727995706,0.003621559899663923,0.1834286590342783,0.003541638813470735,0.22189954186535837,0.007332973398353357,0.2226792864440201,0.0028086180103117087,0.16062675626744083,0.0039111582970553505,2,0.23152537207687313,0.003821577556700262,0.015231814367974238,0.00021729359397983442,0.011005719542056699,0.00021249832880824385,0.22189954186535837,0.007332973398353357,,
,,2000,0.10916666666666669,0.04166666666666668,gaussian_npe,0.898736797532965,0.010491616158445294,-0.2558375505756727,0.023217056425114235,0.5727699787881911,0.08600895602050981,0.48585714522109946,0.05899213896518776,0.37647789915276814,0.02057466216430842,0.486393402399964,0.02632925598846811,0.48037460639050567,0.04797625328461852,0.16534445071854922,0.024828646955580014,0.14025487679055243,0.01702956365581148,0.10867980820989774,0.005939393369524537,0.1404096809038386,0.007600601516252317,0.13867220415570952,0.013849551374292092,0.10871300291962366,0.011919915706188194,2,0.16534445071854922,0.024828646955580014,0.008415292607433147,0.0010217738193486888,0.006520788492593865,0.00035636360217147214,0.1404096809038386,0.007600601516252317,8.06767669197557,0.8082681907543718
,,2000,0.17250000000000001,0.020833333333333343,rectified_fmpe,0.7988677354094693,0.0011380156594915647,-0.2587226694106484,0.011527993382936155,0.5728004311088574,0.041022391436621564,0.4872218817530828,0.02017273803696848,0.3590469154878036,0.01996185199904288,0.46139610594635383,0.007987677620808653,0.4701163335740244,0.022286164773360345,0.16535324154631625,0.011842144369367827,0.1406488422926092,0.005823367867967791,0.10364791665429411,0.005762490312585439,0.13319358298558626,0.0023058439122869145,0.13571089586970148,0.006433461615551986,0.10632959601907475,0.005338023015347443,2,0.16535324154631625,0.011842144369367827,0.008438930537556552,0.000349402072078067,0.006218874999257646,0.0003457494187551263,0.13319358298558626,0.0023058439122869145,,
,,3000,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
54.0,0.0,3000,0.016250000000000014,0.0037500000000000033,abc_knn,0.9159277480186038,0.03738080768459351,-0.3140417496213809,0.00045325168580265246,0.7872182409908587,0.019233910996412584,0.8688908874075999,0.026272213620420537,0.6184576590392808,0.010635366692948067,0.7514849731484271,0.023635550055611798,0.7565129401465417,0.01462657699487424,0.22725033167352798,0.0055523518456740565,0.2508271938705953,0.007584134802978593,0.17853334796435733,0.0030701659115519725,0.21693502576960158,0.006822995593526171,0.21838647481952053,0.004222329082656712,0.15735803482151112,0.0043639264677941825,2,0.22725033167352798,0.0055523518456740565,0.01504963163223572,0.00045504808817871476,0.010712000877861439,0.00018420995469311825,0.21693502576960158,0.006822995593526171,,
,,3000,0.06833333333333337,0.04416666666666666,gaussian_npe,0.7378774814404385,0.033174822253680125,-0.2185791687201538,0.025800529856373627,0.5242168611978356,0.05455205698033597,0.4333863622348524,0.027332224333008276,0.3711121257959671,0.058010038989216195,0.44085981590676726,0.018642104809331178,0.4423937912838556,0.039634106277972925,0.15132837296315554,0.015747822391222396,0.12510786644970234,0.007890133538106789,0.10713084286391794,0.01674605581306233,0.12726526669433047,0.005381512114964286,0.1277080872427766,0.011441380964338957,0.09903419283168147,0.00777000326691752,2,0.15132837296315554,0.015747822391222396,0.007506471986982141,0.0004734080122864074,0.006427850571835076,0.0010047633487837398,0.12726526669433047,0.005381512114964286,8.529600963922405,0.7839641144855212
,,3000,0.12208333333333335,0.022916666666666648,rectified_fmpe,0.6442012877008498,0.021186306435177438,-0.21283024076214346,0.003509559657388986,0.5043824317917558,0.014583113270905307,0.40135336246427555,0.002595065001913782,0.3307247591663894,0.018710639723274303,0.39706120901403763,0.008121761021161467,0.40838044060911455,0.00034979239171967214,0.14560266638474417,0.004209782186289993,0.11586073592945546,0.0007491307387097468,0.09547201436619453,0.0054012964404712566,0.11462169795450647,0.00234455045593069,0.11788927865872514,0.00010097636575991803,0.09276349141007995,0.002370337104306751,2,0.14560266638474417,0.004209782186289993,0.006951644155767328,4.494784432258498e-05,0.005728320861971671,0.00032407778642827567,0.11462169795450647,0.00234455045593069,,
,,5000,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
70.0,0.0,5000,0.01291666666666667,0.000416666666666639,abc_knn,0.9206415065557826,0.03664841518305417,-0.3075425783378513,0.001013611689397509,0.7670271065823626,0.022014687201172223,0.8532724207980162,0.0228447954464433,0.5918231553396038,0.006655959085172747,0.7288893488638448,0.025179650017183752,0.7352530078959569,0.015845793394906715,0.22142165323053342,0.006355092790861092,0.24631853091990918,0.006594724400293003,0.17084462902398698,0.001921409884769798,0.21041223088799596,0.007268738857760804,0.21224926101560637,0.004574286541036268,0.1529912952920008,0.004806242097528501,2,0.22142165323053342,0.006355092790861092,0.014779111855194552,0.00039568346401757954,0.010250677741439219,0.00011528459308618802,0.21041223088799596,0.007268738857760804,,
,,5000,0.025000000000000033,0.01,gaussian_npe,0.743019993689206,0.00029057324444903276,-0.1903212746080073,0.00757421578494423,0.4583919308485698,0.026758343008539603,0.384271723472144,0.019265758640032993,0.30242437972400255,0.012899672639818172,0.37591966054816706,0.010983991998175652,0.3802519236482209,0.01747694157164162,0.13232635233488707,0.007724468269524339,0.11092969149430189,0.005561545468482698,0.08730239852157924,0.003723814735528533,0.10851865860557852,0.0031708053684617044,0.10976927523908667,0.00504515846049932,0.08568007278264653,0.003996359798631527,2,0.13232635233488707,0.007724468269524339,0.006655781489658113,0.00033369272810896203,0.005238143911294754,0.0002234288841317122,0.10851865860557852,0.0031708053684617044,9.312701736432357,0.22633754955974794
