method,budget,replicate,seed,design_space,abc_k_requested,abc_k_used,validation,n_obs,noise_std,flow_samples_per_pair,posterior_samples,ode_steps,fmpe_max_iter,reward_mode,coverage_weight,predictive_weight,raw_rmse,range_normalized_rmse,prior_std_normalized_rmse,coverage_error,posterior_mean_predictive_rmse,posterior_quality_objective,validation_log_posterior,rmse_alpha,range_normalized_rmse_alpha,prior_std_normalized_rmse_alpha,rmse_beta,range_normalized_rmse_beta,prior_std_normalized_rmse_beta,rmse_gamma,range_normalized_rmse_gamma,prior_std_normalized_rmse_gamma,rmse_delta,range_normalized_rmse_delta,prior_std_normalized_rmse_delta
prior_mean,2000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,2000,0,717,wide_window,,44,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16453791456449618,0.2254879044543318,0.7811130140142784,0.013333333333333327,0.8901375623279856,-0.31783499402046367,,0.2353469496335734,0.2353469496335734,0.8152657483434053,0.015449107961954072,0.25748513269923456,0.8919546640573774,0.22923251526371172,0.22923251526371172,0.7940847263671136,0.010793221213248454,0.17988702022080758,0.6231469172892175
gaussian_npe,2000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.09679308721343546,0.12482265278141742,0.43239835310588715,0.06750000000000002,0.9092284136914103,-0.23262049415055847,8.875944882729943,0.1405158037629692,0.1405158037629692,0.48676102276768135,0.007393518788084457,0.12322531313474096,0.42686500625591167,0.1328090793875863,0.1328090793875863,0.4600641464114959,0.006164424890422392,0.1027404148403732,0.3559032369884597
rectified_fmpe,2000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.10099157300372731,0.12927743425414948,0.44783016880066406,0.15166666666666667,0.8000057510689609,-0.24719467602771225,,0.15351109717694844,0.15351109717694844,0.5317780396722358,0.008089528465478484,0.1348254744246414,0.46704914371611433,0.13088773907329934,0.13088773907329934,0.4534084283255452,0.00587312558050252,0.09788542634170867,0.3390850634887607
prior_mean,3000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,3000,0,717,wide_window,,54,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1617219612893053,0.22260880390217724,0.7711395171414159,0.012500000000000011,0.8785469403340103,-0.31358849793557825,,0.23280268351920205,0.23280268351920205,0.8064521519872713,0.015504679720414433,0.2584113286735739,0.8951631010280204,0.22375802136312775,0.22375802136312775,0.7751205232040389,0.01052779092316832,0.17546318205280534,0.6078222923463328
gaussian_npe,3000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.09126418956476395,0.11626670627843763,0.40275968500588266,0.024166666666666708,0.7047026591867583,-0.19277863886378016,9.313565078407926,0.13558055057193316,0.13558055057193316,0.4696648042174996,0.007033063974695734,0.11721773291159557,0.40605413790184414,0.12188375457936619,0.12188375457936619,0.42221771109743605,0.005423087223051336,0.0903847870508556,0.3131020868067509
rectified_fmpe,3000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.09513382851438669,0.11799025502448507,0.4087302330008342,0.0991666666666667,0.6653875941360272,-0.2093206811047545,,0.14981244857103415,0.14981244857103415,0.5189655450626611,0.006906696311444743,0.11511160519074572,0.39875829746236174,0.11696624841043715,0.11696624841043715,0.4051829700351991,0.005404243075543396,0.09007071792572327,0.3120141194431151
prior_mean,5000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,5000,0,717,wide_window,,70,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1577975373895293,0.21682354755664265,0.7510988012908636,0.013333333333333308,0.8839930913727284,-0.3085561900272488,,0.22777674602139453,0.22777674602139453,0.7890417937835348,0.01517479531921213,0.2529132553202022,0.8761172162444596,0.21768096974575676,0.21768096974575676,0.7540689988810286,0.01013539314835303,0.16892321913921718,0.585167196254431
