method,budget,replicate,seed,design_space,abc_k_requested,abc_k_used,validation,n_obs,noise_std,flow_samples_per_pair,posterior_samples,ode_steps,fmpe_max_iter,reward_mode,coverage_weight,predictive_weight,raw_rmse,range_normalized_rmse,prior_std_normalized_rmse,coverage_error,posterior_mean_predictive_rmse,posterior_quality_objective,validation_log_posterior,rmse_alpha,range_normalized_rmse_alpha,prior_std_normalized_rmse_alpha,rmse_beta,range_normalized_rmse_beta,prior_std_normalized_rmse_beta,rmse_gamma,range_normalized_rmse_gamma,prior_std_normalized_rmse_gamma,rmse_delta,range_normalized_rmse_delta,prior_std_normalized_rmse_delta
gaussian_npe,230,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1746365374823644,0.23206804168384135,0.8039072780188504,0.1466666666666667,0.945200077218541,-0.3632547160723621,6.8783019677095805,0.2597941651363931,0.2597941651363931,0.8999533870523437,0.013842193582825598,0.23070322638042665,0.7991794191219269,0.23271374311894097,0.23271374311894097,0.8061440534030758,0.012303661925976279,0.20506103209960466,0.7103522524980553
rectified_fmpe,230,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.19010782032616275,0.25083627462258995,0.8689223440552512,0.3225,0.94893655046999,-0.426354929669589,,0.28570955449829105,0.28570955449829105,0.9897269291978182,0.015452043365334293,0.2575340560889049,0.8921241396505525,0.25007281913624235,0.25007281913624235,0.8662776566719086,0.012601720126015287,0.21002866876692144,0.7275606507007251
prior_mean,500,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,500,0,717,wide_window,,22,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17184229679858135,0.23749052186699954,0.8226913003793813,0.03833333333333335,0.8995766142557081,-0.3370315166259037,,0.2446349872610902,0.2446349872610902,0.8474404544903464,0.016613349105158087,0.2768891517526348,0.959172157800425,0.24056131869960845,0.24056131869960845,0.8333288526469816,0.011272597785279885,0.18787662975466476,0.6508237365797721
gaussian_npe,500,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.15665772806590048,0.20907611870618248,0.7242609204968196,0.14166666666666672,0.8281758507294759,-0.32731037044579675,7.41332515480509,0.23048979384311413,0.23048979384311413,0.7984400671246996,0.012911419538972943,0.21519032564954907,0.7454411546446222,0.21156298950641855,0.21156298950641855,0.7328756936525562,0.010743681949538886,0.1790613658256481,0.6202867665653999
rectified_fmpe,500,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.143044116173317,0.19489407055758123,0.6751328645992887,0.27,0.9197359906937336,-0.3543676696269546,,0.20844975178033923,0.20844975178033923,0.722091121817337,0.01237732247395721,0.20628870789928683,0.7146050462186,0.19529079152300854,0.19529079152300854,0.6765071463363843,0.01017282186166142,0.16954703102769034,0.587328144024833
prior_mean,1000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,1000,0,717,wide_window,,31,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16929554350345175,0.2330089051521788,0.8071665246791424,0.01666666666666668,0.8985957362151208,-0.3270351454403576,,0.24332964607237004,0.24332964607237004,0.8429186199701951,0.015836154255879833,0.2639359042646639,0.9143007922560659,0.23463520451834477,0.23463520451834477,0.8128001909401754,0.011408091945200198,0.19013486575333663,0.6586464955501335
gaussian_npe,1000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.12685372716057328,0.16772659072651702,0.5810219538372766,0.21833333333333335,0.9158255143699047,-0.31389247549684085,7.079721185596148,0.18677916407051637,0.18677916407051637,0.6470220039307554,0.010304676869087585,0.17174461448479308,0.5949407964279827,0.17118134781787758,0.17118134781787758,0.5929895834573674,0.008472074191972854,0.1412012365328809,0.4891354315330008
rectified_fmpe,1000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.13697717919309585,0.17664972477698437,0.6119325969135913,0.2141666666666667,0.9427371189881636,-0.3244651033424674,,0.21608794860264188,0.21608794860264188,0.7485506117662157,0.010576995932017013,0.1762832655336169,0.6106631448567599,0.167833140945021,0.167833140945021,0.5813910546212896,0.008783672641599462,0.14639454402665772,0.5071255764101
