batch,batch_size,best_label,best_mean_delta,best_policy,between_policy_std,final_simulations,mean_policy_delta,mean_within_policy_std,n,paired_eta_squared,policies,positive_observation_fraction,positive_policy_fraction,range_of_policy_means,rank_stability_spearman,raw_eta_squared,replicates,reward,reward_label,winner_stability,worst_label,worst_mean_delta,worst_policy
56,56,medium middle,0.012868693494395927,medium_middle,0.006690965007082025,556,0.005831578900967292,0.009592585995411834,27,0.48178076155068594,9,0.7037037037037037,0.7777777777777778,0.020127181131995586,0.3111111111111111,0.3868749085491419,3,neg_raw_rmse,-raw RMSE,0.3333333333333333,short early,-0.007258487637599657,short_early
56,56,medium middle,0.013433090740438414,medium_middle,0.012934222877222372,556,-0.0024088046560611217,0.017157154506677267,27,0.5851803861650889,9,0.5185185185185185,0.5555555555555556,0.037122201677807456,0.4888888888888889,0.38872746861289365,3,rmse_coverage,-RMSE - coverage penalty,0.3333333333333333,short early,-0.023689110937369046,short_early
56,56,medium middle,0.017928970662048016,medium_middle,0.014312641084295197,556,0.00016319427056133258,0.018198742293566057,27,0.6748078650970449,9,0.4444444444444444,0.5555555555555556,0.03914980939774494,0.6777777777777777,0.42721081664652705,3,rmse_coverage_predictive,-RMSE - coverage - predictive penalties,0.3333333333333333,short late,-0.02122083873569693,short_late
56,56,medium middle,0.023276192884270224,medium_middle,0.010354568584107113,556,0.008789737480437867,0.01155280961642131,27,0.7018587705929735,9,0.7037037037037037,0.7777777777777778,0.031163698286633845,0.6611111111111111,0.5045694861647088,3,rmse_predictive,-RMSE - predictive penalty,0.3333333333333333,short late,-0.007887505402363623,short_late
112,112,short late,-0.013333333333333308,short_late,0.02165909768078253,612,-0.03694444444444442,0.029685521175594143,27,0.5934503038141484,9,0.2222222222222222,0.0,0.061111111111111116,0.21666666666666667,0.3553539073002512,3,neg_coverage_error,-coverage error,0.3333333333333333,short early,-0.07444444444444442,short_early
112,112,medium late,0.07073124491330825,medium_late,0.028180428471869017,612,0.027884597873155708,0.07666549466158948,27,0.38595114174594053,9,0.6666666666666666,0.8888888888888888,0.09257113239231347,-0.07222222222222223,0.13846406970555492,3,neg_predictive_rmse,-posterior-mean predictive RMSE,0.3333333333333333,short middle,-0.021839887479005227,short_middle
112,112,medium late,0.07984194797185384,medium_late,0.04424963697739523,612,0.01755935108123151,0.03021161447012098,27,0.7180694271220843,9,0.7037037037037037,0.7777777777777778,0.1499107451915504,0.5722222222222221,0.7162663263309836,3,neg_prior_std_rmse,-prior-std-normalized RMSE,0.6666666666666666,short early,-0.07006879721969657,short_early
112,112,medium late,0.02304838507708697,medium_late,0.012773769910221177,612,0.005068948036772097,0.008721341873488775,27,0.7180694271220842,9,0.7037037037037037,0.7777777777777778,0.04327550454537951,0.5722222222222221,0.7162663263309837,3,neg_range_rmse,-range-normalized RMSE,0.6666666666666666,short early,-0.020227119468292542,short_early
112,112,long late,0.03877649821630035,long_late,0.017558385129724994,612,0.01386288017501577,0.015685973986627366,27,0.6043131219961504,9,0.6666666666666666,0.7777777777777778,0.05641165324866562,0.4222222222222222,0.548092573448122,3,neg_range_rmse_alpha,-range-normalized RMSE alpha,0.3333333333333333,short early,-0.017635155032365273,short_early
112,112,medium late,0.035760784049149785,medium_late,0.019799115862173044,612,0.009720583659855668,0.013071714105190334,27,0.8200535401517461,9,0.6666666666666666,0.6666666666666666,0.06293708904869803,0.8388888888888889,0.7232872628570036,3,neg_range_rmse_beta,-range-normalized RMSE beta,1.0,short early,-0.027176304999548245,short_early
